Provincia,Canton,Distrito
GUANACASTE,TILARAN,LIBANO
GUANACASTE,TILARAN,QUEBRADA GRANDE
GUANACASTE,TILARAN,SANTA ROSA
GUANACASTE,TILARAN,TIERRAS MORENAS
GUANACASTE,TILARAN,TILARAN
GUANACASTE,TILARAN,TRONADORA
HEREDIA,BARVA,BARVA
HEREDIA,BARVA,SAN JOSE DE LA MONTANA
HEREDIA,BARVA,SAN PABLO
HEREDIA,BARVA,SAN PEDRO
HEREDIA,BARVA,SAN ROQUE
HEREDIA,BARVA,SANTA LUCIA
HEREDIA,BELEN,ASUNCION
HEREDIA,BELEN,LA RIBERA
HEREDIA,BELEN,SAN ANTONIO
HEREDIA,FLORES,BARRANTES
HEREDIA,FLORES,LLORENTE
HEREDIA,FLORES,SAN JOAQUIN
HEREDIA,HEREDIA,HEREDIA
HEREDIA,HEREDIA,MERCEDES
HEREDIA,HEREDIA,SAN FRANCISCO
HEREDIA,HEREDIA,ULLOA
HEREDIA,HEREDIA,VARABLANCA
HEREDIA,SAN ISIDRO,CONCEPCION
HEREDIA,SAN ISIDRO,SAN FRANCISCO
HEREDIA,SAN ISIDRO,SAN ISIDRO
HEREDIA,SAN ISIDRO,SAN JOSE
HEREDIA,SAN PABLO,SAN PABLO
HEREDIA,SAN RAFAEL,ANGELES
HEREDIA,SAN RAFAEL,CONCEPCION
HEREDIA,SAN RAFAEL,SAN JOSECITO
HEREDIA,SAN RAFAEL,SAN RAFAEL
HEREDIA,SAN RAFAEL,SANTIAGO
HEREDIA,SANTA BARBARA,JESUS
HEREDIA,SANTA BARBARA,PURABA
HEREDIA,SANTA BARBARA,SAN JUAN
HEREDIA,SANTA BARBARA,SAN PEDRO
HEREDIA,SANTA BARBARA,SANTA BARBARA
HEREDIA,SANTA BARBARA,SANTO DOMINGO
HEREDIA,SANTO DOMINGO,PARA
HEREDIA,SANTO DOMINGO,PARACITO
HEREDIA,SANTO DOMINGO,SAN MIGUEL
HEREDIA,SANTO DOMINGO,SAN VICENTE
HEREDIA,SANTO DOMINGO,SANTA ROSA
HEREDIA,SANTO DOMINGO,SANTO DOMINGO
HEREDIA,SANTO DOMINGO,SANTO TOMAS
HEREDIA,SANTO DOMINGO,TURES
HEREDIA,SARAPIQUI,CURENA
HEREDIA,SARAPIQUI,HORQUETAS
HEREDIA,SARAPIQUI,LA VIRGEN
HEREDIA,SARAPIQUI,LLANURAS DEL GASPAR
HEREDIA,SARAPIQUI,PUERTO VIEJO
LIMON,GUACIMO,DUACARI
LIMON,GUACIMO,GUACIMO
LIMON,GUACIMO,MERCEDES
LIMON,GUACIMO,POCORA
LIMON,GUACIMO,RIO JIMENEZ
LIMON,LIMON,LIMON
LIMON,LIMON,MATAMA
LIMON,LIMON,RIO BLANCO
LIMON,LIMON,VALLE DE LA ESTRELLA
LIMON,MATINA,BATAN
LIMON,MATINA,CARRANDI
LIMON,MATINA,MATINA
LIMON,POCOCI,CARIARI
LIMON,POCOCI,COLORADO
LIMON,POCOCI,GUAPILES
LIMON,POCOCI,JIMENEZ
LIMON,POCOCI,RITA
LIMON,POCOCI,ROXANA
LIMON,SIQUIRRES,ALEGRIA
LIMON,SIQUIRRES,CAIRO
LIMON,SIQUIRRES,FLORIDA
LIMON,SIQUIRRES,GERMANIA
LIMON,SIQUIRRES,PACUARITO
LIMON,SIQUIRRES,SIQUIRRES
LIMON,TALAMANCA,BRATSI
LIMON,TALAMANCA,CAHUITA
LIMON,TALAMANCA,SIXAOLA
LIMON,TALAMANCA,TELIRE
PUNTARENAS,AGUIRRE,NARANJITO
PUNTARENAS,AGUIRRE,QUEPOS
PUNTARENAS,AGUIRRE,SAVEGRE
PUNTARENAS,BUENOS AIRES,BIOLLEY
PUNTARENAS,BUENOS AIRES,BORUCA
PUNTARENAS,BUENOS AIRES,BRUNKA
PUNTARENAS,BUENOS AIRES,BUENOS AIRES
PUNTARENAS,BUENOS AIRES,CHANGUENA
PUNTARENAS,BUENOS AIRES,COLINAS
PUNTARENAS,BUENOS AIRES,PILAS
PUNTARENAS,BUENOS AIRES,POTRERO GRANDE
PUNTARENAS,BUENOS AIRES,VOLCAN
PUNTARENAS,CORREDORES,CANOAS
PUNTARENAS,CORREDORES,CORREDOR
PUNTARENAS,CORREDORES,LA CUESTA
PUNTARENAS,CORREDORES,LAUREL
PUNTARENAS,COTO BRUS,AGUABUENA
PUNTARENAS,COTO BRUS,LIMONCITO
PUNTARENAS,COTO BRUS,PITTIER
PUNTARENAS,COTO BRUS,SABALITO
PUNTARENAS,COTO BRUS,SAN VITO
PUNTARENAS,ESPARZA,ESPIRITU SANTO
PUNTARENAS,ESPARZA,MACACONA
PUNTARENAS,ESPARZA,SAN JERONIMO
PUNTARENAS,ESPARZA,SAN JUAN GRANDE
PUNTARENAS,ESPARZA,SAN RAFAEL
PUNTARENAS,GARABITO,JACO
PUNTARENAS,GARABITO,TARCOLES
PUNTARENAS,GOLFITO,GOLFITO
PUNTARENAS,GOLFITO,GUAYCARA
PUNTARENAS,GOLFITO,PAVON
PUNTARENAS,GOLFITO,PUERTO JIMENEZ
PUNTARENAS,MONTES DE ORO,MIRAMAR
PUNTARENAS,MONTES DE ORO,SAN ISIDRO
PUNTARENAS,MONTES DE ORO,UNION
PUNTARENAS,OSA,BAHIA BALLENA
PUNTARENAS,OSA,PALMAR
PUNTARENAS,OSA,PIEDRAS BLANCAS
PUNTARENAS,OSA,PUERTO CORTES
PUNTARENAS,OSA,SIERPE
PUNTARENAS,PARRITA,PARRITA
PUNTARENAS,PUNTARENAS,ACAPULCO
PUNTARENAS,PUNTARENAS,ARANCIBIA
PUNTARENAS,PUNTARENAS,BARRANCA
PUNTARENAS,PUNTARENAS,CHACARITA
PUNTARENAS,PUNTARENAS,CHIRA
PUNTARENAS,PUNTARENAS,CHOMES
PUNTARENAS,PUNTARENAS,COBANO
PUNTARENAS,PUNTARENAS,EL ROBLE
PUNTARENAS,PUNTARENAS,GUACIMAL
PUNTARENAS,PUNTARENAS,ISLA DEL COCO
PUNTARENAS,PUNTARENAS,LEPANTO
PUNTARENAS,PUNTARENAS,MANZANILLO
PUNTARENAS,PUNTARENAS,MONTE VERDE
PUNTARENAS,PUNTARENAS,PAQUERA
PUNTARENAS,PUNTARENAS,PITAHAYA
PUNTARENAS,PUNTARENAS,PUNTARENAS
SAN JOSE,ACOSTA,CANGREJAL
SAN JOSE,ACOSTA,GUAITIL
SAN JOSE,ACOSTA,PALMICHAL
SAN JOSE,ACOSTA,SABANILLAS
SAN JOSE,ACOSTA,SAN IGNACIO
SAN JOSE,ALAJUELITA,ALAJUELITA
SAN JOSE,ALAJUELITA,CONCEPCION
SAN JOSE,ALAJUELITA,SAN ANTONIO
SAN JOSE,ALAJUELITA,SAN FELIPE
SAN JOSE,ALAJUELITA,SAN JOCESITO
SAN JOSE,ASERRI,ASERRI
SAN JOSE,ASERRI,LEGUA
SAN JOSE,ASERRI,MONTERREY
SAN JOSE,ASERRI,SALITRILLOS
SAN JOSE,ASERRI,SAN GABRIEL
SAN JOSE,ASERRI,TARBACA
SAN JOSE,ASERRI,VUELTA DE JORCO
SAN JOSE,CURRIDABAT,CURRIDABAT
SAN JOSE,CURRIDABAT,GRANADILLA
SAN JOSE,CURRIDABAT,SANCHEZ
SAN JOSE,CURRIDABAT,TIRRASES
SAN JOSE,DESAMPARADOS,DAMAS
SAN JOSE,DESAMPARADOS,DESAMPARADOS
SAN JOSE,DESAMPARADOS,FRAILES
SAN JOSE,DESAMPARADOS,GRAVILIAS
SAN JOSE,DESAMPARADOS,LOS GUIDO
SAN JOSE,DESAMPARADOS,PATARRA
SAN JOSE,DESAMPARADOS,ROSARIO
SAN JOSE,DESAMPARADOS,SAN ANTONIO
SAN JOSE,DESAMPARADOS,SAN CRISTOBAL
SAN JOSE,DESAMPARADOS,SAN JUAN DE DIOS
SAN JOSE,DESAMPARADOS,SAN MIGUEL
SAN JOSE,DESAMPARADOS,SAN RAFAEL ABAJO
SAN JOSE,DESAMPARADOS,SAN RAFAEL ARRIBA
SAN JOSE,DOTA,COPEY
SAN JOSE,DOTA,SAN PEDRO (JARDIN)
SAN JOSE,DOTA,SANTA MARIA
SAN JOSE,ESCAZU,ESCAZU
SAN JOSE,ESCAZU,SAN ANTONIO
SAN JOSE,ESCAZU,SAN RAFAEL
SAN JOSE,GOICOECHEA,CALLE BLANCOS
SAN JOSE,GOICOECHEA,GUADALUPE
SAN JOSE,GOICOECHEA,IPIS
SAN JOSE,GOICOECHEA,MATA DE PLATANO
SAN JOSE,GOICOECHEA,PURRAL
SAN JOSE,GOICOECHEA,RANCHO REDONDO
SAN JOSE,GOICOECHEA,SAN FRANCISCO
SAN JOSE,LEON CORTES,LLANO BONITO
SAN JOSE,LEON CORTES,SAN ANDRES
SAN JOSE,LEON CORTES,SAN ANTONIO
SAN JOSE,LEON CORTES,SAN ISIDRO
SAN JOSE,LEON CORTES,SAN PABLO
SAN JOSE,LEON CORTES,SANTA CRUZ
SAN JOSE,MONTES DE OCA,MERCEDES
SAN JOSE,MONTES DE OCA,SABANILLA
SAN JOSE,MONTES DE OCA,SAN PEDRO
SAN JOSE,MONTES DE OCA,SAN RAFAEL
SAN JOSE,MORA,COLON
SAN JOSE,MORA,GUAYABO
SAN JOSE,MORA,PICAGRES
SAN JOSE,MORA,PIEDRAS NEGRAS
SAN JOSE,MORA,TABARCIA
SAN JOSE,MORAVIA,SAN JERONIMO
SAN JOSE,MORAVIA,SAN VICENTE
SAN JOSE,MORAVIA,TRINIDAD
SAN JOSE,PEREZ ZELEDON,BARU
SAN JOSE,PEREZ ZELEDON,CAJON
SAN JOSE,PEREZ ZELEDON,DANIEL FLORES
SAN JOSE,PEREZ ZELEDON,GENERAL
SAN JOSE,PEREZ ZELEDON,PARAMO
SAN JOSE,PEREZ ZELEDON,PEJIBAYE
SAN JOSE,PEREZ ZELEDON,PLATANARES
SAN JOSE,PEREZ ZELEDON,RIO NUEVO
SAN JOSE,PEREZ ZELEDON,RIVAS
SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DEL GENERAL
SAN JOSE,PEREZ ZELEDON,SAN PEDRO
SAN JOSE,PURISCAL,BARBACOAS
SAN JOSE,PURISCAL,CANDELARITA
SAN JOSE,PURISCAL,CHIRES
SAN JOSE,PURISCAL,DESAMPARADITOS
SAN JOSE,PURISCAL,GRIFO ALTO
SAN JOSE,PURISCAL,MERCEDES SUR
SAN JOSE,PURISCAL,SAN ANTONIO
SAN JOSE,PURISCAL,SAN RAFAEL
SAN JOSE,PURISCAL,SANTIAGO
SAN JOSE,SAN JOSE,CARMEN
SAN JOSE,SAN JOSE,CATEDRAL
SAN JOSE,SAN JOSE,HATILLO
SAN JOSE,SAN JOSE,HOSPITAL
SAN JOSE,SAN JOSE,MATA REDONDA
SAN JOSE,SAN JOSE,MERCED
SAN JOSE,SAN JOSE,PAVAS
SAN JOSE,SAN JOSE,SAN FCO. DE DOS RIOS
SAN JOSE,SAN JOSE,SAN SEBASTIAN
SAN JOSE,SAN JOSE,URUCA
SAN JOSE,SAN JOSE,ZAPOTE
SAN JOSE,SANTA ANA,BRASIL
SAN JOSE,SANTA ANA,PIEDADES
SAN JOSE,SANTA ANA,POZOS
SAN JOSE,SANTA ANA,SALITRAL
SAN JOSE,SANTA ANA,SANTA ANA
SAN JOSE,SANTA ANA,URUCA
SAN JOSE,TARRAZU,SAN CARLOS
SAN JOSE,TARRAZU,SAN LORENZO
SAN JOSE,TARRAZU,SAN MARCOS
SAN JOSE,TIBAS,ANSELMO LLORENTE
SAN JOSE,TIBAS,CINCO ESQUINAS
SAN JOSE,TIBAS,COLIMA
SAN JOSE,TIBAS,LEON XIII
SAN JOSE,TIBAS,SAN JUAN
SAN JOSE,TURRUBARES,CARARA
SAN JOSE,TURRUBARES,SAN JUAN DE MATA
SAN JOSE,TURRUBARES,SAN LUIS
SAN JOSE,TURRUBARES,SAN PABLO
SAN JOSE,TURRUBARES,SAN PEDRO
SAN JOSE,VAZQUEZ DE CORONADO,CASCAJAL
SAN JOSE,VAZQUEZ DE CORONADO,DULCE NOMBRE DE JESUS
SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO
SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO
SAN JOSE,VAZQUEZ DE CORONADO,SAN RAFAEL
